id	pregunta	ortografia	afi
121	Dar volteretas	dar un pinchacarneiro	ˈdaɹ ũm pĩɲt͡ʃakaɾˈnẽjɾo
121	Levadura	fermento	foɾˈmẽnto
121	Mariquita	reina	ˈrẽjnã
121	Cadera	cadera	kaˈðeɹa
121	Levadura	requento	reˈkẽnto
122	Guisantes	ervellos	eɾˈβeʎos̺
122	Mariquita	papasol	papaˈs̺ol
122	Lagartija	largatixa	laɾɣaˈtiʃæ
122	Aguzanieves	lavandeira	laβãnˈdɛjɹa
122	Levadura	fomento	ɸoˈmɛ̃nto
122	Jabalí	xabaril	ʃaβaˈɾil
122	Cadera	cadera	kaˈðɛɾa
122	Cuna	barrelo	baˈrɛlo
122	Llevar a cuestas	levar ao lombo	leˈβaɹ ɔ ˈlõmbo
122	Dar volteretas	dar a pinchacarneira	ˈdaɾ a pĩɲt͡ʃakaɾˈnɛ̃jɹa
122	Cuna	cuna	ˈkũna
123	Llevar a cuestas	levar ao lombo	leˈβaɹ ɔ ˈlõmbo
123	Dar volteretas	dar capitós	ˈdaɹ kapiˈtos̺
123	Guisantes	guisantes	ɡiˈs̺ãntes̺
123	Mariquita	diviñón	diβiˈɲõŋ
123	Lagartija	lagartixa	laɣaɾˈtiʃa
123	Aguzanieves	lavandeira	laβãnˈdejɾa
123	Jabalí	jabalí	xɑβaˈli
123	Cadera	cadera	kaˈðɛɾa
123	Cuna	barrelo	baˈrɛlo
123	Levadura	lévedo	ˈleβeðo
123	Dar volteretas	dar un pinchacarneira	ˈdaɹ ũm pĩɲt͡ʃækaɾˈnẽjɹa
123	Cuna	cuna	ˈkũnã
123	Levadura	fermento	ɸoɾˈmẽnto
123	Levadura	requento	reˈkẽnto
124	Guisantes	guisantes	xʰiˈs̺ãntes̺
124	Mariquita	papasol	papaˈs̺ol
124	Lagartija	lagartixa	laxʰaɾˈtiʃa
124	Aguzanieves	lavandeira	lɐβãnˈdɛjɹa
124	Jabalí	xabarín	ʃɛβaˈɾĩŋ
124	Cadera	cadeira	kɐˈðɛjɹa
124	Cuna	barrelo	baˈrɛlo
124	Llevar a cuestas	levar ao carrelo	leˈβaɹ ɔ kaˈrɛlo
124	Dar volteretas	dar un cunchapeido	ˈdaɹ ũŋ kũɲt͡ʃæˈpejðo
124	Levadura	fermento	foɾˈmɛ̃nto
124	Cuna	cuna	ˈkũnã
124	Lagartija	lagartixa	laxʰɐɾˈtiʃa
124	Dar volteretas	dar un cunchapeido	ˈdaɾ̥ ũŋ kũɲt͡ʃæˈpejðo
125	Guisantes	guisantes	ɡiˈs̺ãntes̺
125	Mariquita	xoana	ʃuˈãnã
125	Lagartija	lagarta	laˈɣaɾtɐ
125	Aguzanieves	lavandeira	laβãnˈdɛjɾa
125	Jabalí	porco bravo	ˈpɔɾko ˈβɾaβo
125	Cadera	cadeira	kaˈðɛjɾa
125	Cuna	rolo	ˈrɔlo
125	Llevar a cuestas	levar ó lombo	leˈβaɹ ɔ ˈlõmbo
125	Dar volteretas	dar contrapallazos	ˈdaɹ kõntɾapaˈʎaθos̺
125	Levadura	lévedo	ˈleβeðo
125	Llevar a cuestas	levar ás costas	leˈβaɹ as̺ ˈkɔs̺tas̺
126	Guisantes	ervellas	eɾˈβeʎæs̺
126	Mariquita	costureira	kos̺tuˈɾejɹa
126	Lagartija	lagartixa	laɣaɾˈtiʃæ
126	Aguzanieves	lavandeira	laβãnˈdejɹa
126	Jabalí	xabarín	ʃaβaˈɾĩŋ
126	Cadera	cadera	kaˈðɛɹa
126	Cuna	rolo	ˈrolo
126	Llevar a cuestas	levar ás costas	leˈβaɹ as̺ ˈkɔs̺tas̺
126	Dar volteretas	dar a pinchacarneira	ˈdaɹ a pĩɲt͡ʃakaɹˈnẽjɹa
126	Levadura	crecente	kɹeˈθẽnte
126	Cuna	rola	ˈrola
126	Levadura	lévedo	ˈleβeðo
127	Guisantes	guisantes	ɡiˈs̺ãntes̺
127	Mariquita	voíño de Dios	boˈĩɲõ ðe ˈðjos̺
127	Lagartija	lagartixa	laɣaɹˈtiʃa
127	Aguzanieves	lavandeira	laβãnˈdejɹa
127	Jabalí	xabalín	ʃaβaˈlĩŋ
127	Cadera	cadera	kaˈðɛɹa
127	Cuna	camareta	kãmãˈɾetḁ
127	Llevar a cuestas	levar ó carrelo	leˈβaɹ o kaˈrɛlo
127	Dar volteretas	dar a pinchacaneira	ˈdaɹ a pĩɲt͡ʃakaˈnẽjɹa
127	Levadura	fermento	ɸoɾˈmẽnto̥
127	Cadera	cadeira	kaˈðejɹa
127	Llevar a cuestas	levar ás requichas	leˈβaɹ a reˈkit͡ʃæs̺
127	Levadura	lévedo	ˈleβeðo
128	Llevar a cuestas	levar ó farricoque	leˈβaɹ ɔ fariˈkɔke
128	Dar volteretas	dar pinchacarneiros	ˈdaɹ pĩɲt͡ʃakaɾˈnɛ̃jɾoʃ
128	Guisantes	pericos	peˈɾikos̺
128	Mariquita	costureiriña	kus̺tuɾɛjɾiˈɲɐ̃
128	Lagartija	lagartixa	laxʰaɾˈtiʃɐ
128	Aguzanieves	lavandeira	laβɐ̃nˈdɛjɹɐ
128	Jabalí	porco bravo	ˈpɔɾko ˈβɾaβo
128	Cadera	cadril	kaˈðɾil
128	Cuna	rolo	ˈrɔlo
128	Levadura	fermento	foɾˈmẽnto
128	Mariquita	xoaniña	ʃuãˈnĩɲɐ̃
128	Cadera	cadeira	kaˈðɛjɾɐ
128	Cuna	berce	ˈbɛɾθe
129	Guisantes	chícharos	ˈt͡ʃit͡ʃɐɾos̺
129	Mariquita	xoana	ʃuˈãnã
129	Lagartija	lagarta	laˈxʰaɾtɐ
129	Aguzanieves	lavandeira	laβãnˈdɛjɾɐ
129	Jabalí	porco bravo	ˈpɔɾko ˈβɾaβo
129	Cadera	cadril	kaˈðɾil
129	Cuna	berce	ˈbɛɾθe
129	Llevar a cuestas	ó lombo	ɔ ˈlõmbo
129	Dar volteretas	dar pinchacarneiros	ˈdaɹ pĩɲt͡ʃakaɾˈnɛ̃jɾos̺
129	Levadura	fermento	foɾˈmẽnto
129	Llevar a cuestas	ao talín	ɔ taˈlĩŋ
130	Guisantes	chícharos	ˈt͡ʃit͡ʃɐɾos̺
130	Mariquita	avelaíña	aβelaˈiɲa
130	Lagartija	lagarta	laˈxʰaɾta
130	Aguzanieves	lavrandeira	laβɾanˈdejɾa
130	Jabalí	porco bravo	ˈpɔɾko ˈβɾaβo
130	Cadera	cadril	kaˈðɾil
130	Cuna	berce	ˈbɛɾθe
130	Llevar a cuestas	levar ao lombo	løˈβaɹ ɔ ˈlõmbo
130	Dar volteretas	dar pinchacarneiros	ˈdaɹ pĩɲt͡ʃakaˈnẽjɹos̺
130	Levadura	fermento	ɸoɾˈmẽnto
131	Guisantes	chícharos	ˈt͡ʃit͡ʃæɾos
131	Mariquita	xoana	ʃuˈãnɐ̃
131	Lagartija	lagarta	laˈxɑɾtʰɐ
131	Aguzanieves	revandeira	reβɐ̃nˈdɛjɾ̥ɐ
131	Jabalí	jabalín	xɑβaˈlĩŋ
131	Cadera	cadril	kaˈðɾil
131	Cuna	berce	ˈbɛɾsi̥
131	Llevar a cuestas	levar ó lombo	leˈβaɹ ɔ ˈlõmbo
131	Dar volteretas	dar chumbos de gato	ˈdaɹ ˈt͡ʃũmboz̺ ðe ˈxɑto
131	Levadura	fermento	ɸoɾˈmɛ̃nto
131	Llevar a cuestas	levar ás costas	leˈβaɹ as ˈkɔs̪tɐs
131	Cadera	cadeira	kaˈðɛjɾ̥ɐ̥
132	Guisantes	garavanzos	xaɾaˈβãnθos
132	Mariquita	xoana	ʃuˈãnɐ̃
132	Lagartija	cádigo	ˈkaðixo
132	Aguzanieves	lavandeira	laβãnˈdɛjɹɐ
132	Jabalí	porco bravo	ˈpɔɾko ˈβɾaβ̥o
132	Cadera	cadeira	kaˈðɛjɹɐ
132	Cuna	berce	ˈbɛɾθi̥
132	Llevar a cuestas	levar ás costas	loˈβaɹ as ˈkɔs̪tɐs
132	Dar volteretas	andar aos capitóns	ãnˈdaɹ ɔs kapiˈtõns
132	Levadura	fermento	ɸoɾˈmɛ̃ntu̥
133	Guisantes	chícharos	ˈt͡ʃit͡ʃaɾos̺
133	Mariquita	galiniña de Dios	xʰalĩˈnĩɲã ðe ˈðjɔs̺
133	Lagartija	lagarta	laˈxʰɑɾta
133	Aguzanieves	lavandeira	laβãnˈdejɹɐ
133	Jabalí	porco bravo	ˈpɔɾko ˈβɾaβo
133	Llevar a cuestas	levar ó lombo	løˈβaɹ ɔ ˈlõmbo
133	Dar volteretas	dar carballeiras	ˈdaɹ kaɾβaˈʎejɹɐs̺
133	Cadera	cadeira	kaˈðejɹa
133	Cuna	berce	ˈbɛɾθi̥
133	Levadura	fermento	ɸoɾˈmẽnto
133	Cadera	lomedro	lõˈmẽðɾo
134	Guisantes	ervillas	ɘɾˈβiʎæs
134	Mariquita	paxareliña	paʃɐɾeˈlĩɲɐ̃
134	Lagartija	lagartiña	laxʰaɾˈtʰĩɲɐ̃
134	Aguzanieves	devandoura	dəβãnˈdowɾɐ
134	Jabalí	jabalí	xaβaˈli
134	Cadera	cadera	kʰaˈðɛɾɐ
134	Cuna	berce	ˈbɛɾsɘ
134	Llevar a cuestas	levar ó lombo	leˈβaɹ ɔ ˈlõmbo
134	Dar volteretas	dar chumbalagatos	ˈdaɹ t͡ʃũmbalaˈxatʰos
134	Levadura	fermento	ɸeɾˈmẽntʰo
134	Cadera	baga	ˈbaxɐ
134	Cadera	cadril	kæˈðɾil
135	Guisantes	ervillas	eɾˈβiʎæs̺
135	Mariquita	xoaniña	ʃuɐ̃ˈnĩɲæ
135	Lagartija	lagarta	laˈxɑɾtæ
135	Aguzanieves	lavandeira	læβɐ̃nˈdejɹɐ
135	Jabalí	porco bravo	ˈpɔɾko ˈβɾaβ̥o
135	Cadera	cadeira	kæˈðejɾ̥ɐ̥
135	Cuna	cuna	ˈkũnɐ̃
135	Llevar a cuestas	levar ás costas	løˈβaɹ as̺ ˈkɔs̺tɐ̥s̺
135	Dar volteretas	dar camballotas	ˈdaɹ kãmbaˈʎɔtɐ̥s̺
135	Levadura	fermento	ɸoɾˈmẽnto
135	Cuna	berzo	ˈbɛɾs̺u̥
136	Levadura	fermento	foɾˈmɛ̃nto
136	Guisantes	ervillas	eɾˈβiʎæs
136	Mariquita	xoaniña	ʃuɐˈnĩɲæ
136	Lagartija	NA	NA
136	Aguzanieves	lavandeira	lɐβɐ̃nˈdejɾɐ
136	Jabalí	jabalín	xaβɐˈlĩŋ
136	Cadera	cadeira	kʰaˈðejɹɐ
136	Cuna	berce	ˈbɛɾsɘ
136	Llevar a cuestas	levar ao lombo	løˈβaɹ ɔ ˈlõmbo
136	Dar volteretas	cambaluchar	kʰãmbaluˈt͡ʃaɹə
136	Llevar a cuestas	levar ás costas	leˈβaɹ as̺ ˈkʰɔs̺tɐs
136	Dar volteretas	dar cambaluchos	ˈdaɹ kʰɐ̃mbɐˈlut͡ʃos
136	Cadera	rens	ˈrɛ̃ns
137	Llevar a cuestas	levar ás costas	leˈβaɹ as̺ ˈkɔs̺tas̺
137	Dar volteretas	ir ó pinchasapo	ˈiɹ ˈɔ pĩɲt͡ʃæˈs̺ɑpo
137	Guisantes	ervillas	eɾˈβiʎas̺
137	Mariquita	xoaniña	ʃuãˈnĩɲã
137	Lagartija	lagarta	laˈxɑɾta
137	Aguzanieves	lavandisca	laβãnˈdis̺kɐ
